Arizona Bootstrap 5.1 Sass variable,CSS custom property,Current Design Token,Value
"$gray-100","--bs-gray-100","","#f8f9fa"
"$gray-200","--bs-gray-200","","#e9ecef"
"$gray-300","--bs-gray-300","","#dee2e6"
"$gray-400","--bs-gray-400","","#ced4da"
"$gray-500","--bs-gray-500","","#adb5bd"
"$gray-600","--bs-gray-600","","#6c757d"
"$gray-700","--bs-gray-700","","#495057"
"$gray-800","--bs-gray-800","","#343a40"
"$gray-900","--bs-gray-900","","#212529"
"$grays","--bs-grays","","( ""100"": $gray-100, ""200"": $gray-200, ""300"": $gray-300, ""400"": $gray-400, ""500"": $gray-500, ""600"": $gray-600, ""700"": $gray-700, ""800"": $gray-800, ""900"": $gray-900 )"
"$red","--bs-red","az.color.brand.red","#ab0520"
"$bloom","--bs-bloom","","#ef4056"
"$chili","--bs-chili","","#8b0015"
"$blue","--bs-blue","az.color.brand.blue","#0c234b"
"$sky","--bs-sky","","#81d3eb"
"$oasis","--bs-oasis","","#378dbd"
"$azurite","--bs-azurite","","#1e5288"
"$midnight","--bs-midnight","","#001c48"
"$cool-gray","--bs-cool-gray","","#e2e9eb"
"$warm-gray","--bs-warm-gray","","#f4ede5"
"$leaf","--bs-leaf","","#70b865"
"$river","--bs-river","","#007d84"
"$silver","--bs-silver","","#9eabae"
"$dark-silver","--bs-dark-silver","","#49595e"
"$mesa","--bs-mesa","","#a95c42"
"$ash","--bs-ash","","#403635"
"$sage","--bs-sage","","#4a634e"
"$white","--bs-white","","#fff"
"$black","--bs-black","","#000"
"$bloom-100","--bs-bloom-100","","tint-color($bloom, 80%) !default"
"$bloom-200","--bs-bloom-200","","tint-color($bloom, 60%) !default"
"$bloom-300","--bs-bloom-300","","tint-color($bloom, 40%) !default"
"$bloom-400","--bs-bloom-400","","tint-color($bloom, 20%) !default"
"$bloom-500","--bs-bloom-500","","$bloom !default"
"$bloom-600","--bs-bloom-600","","shade-color($bloom, 20%) !default"
"$bloom-700","--bs-bloom-700","","shade-color($bloom, 40%) !default"
"$bloom-800","--bs-bloom-800","","shade-color($bloom, 60%) !default"
"$bloom-900","--bs-bloom-900","","shade-color($bloom, 80%) !default"
"$blooms","--bs-blooms","","( ""bloom-100"": $bloom-100, ""bloom-200"": $bloom-200, ""bloom-300"": $bloom-300, ""bloom-400"": $bloom-400, ""bloom-500"": $bloom-500, ""bloom-600"": $bloom-600, ""bloom-700"": $bloom-700, ""bloom-800"": $bloom-800, ""bloom-900"": $bloom-900 ) !default"
"$chili-100","--bs-chili-100","","tint-color($chili, 80%) !default"
"$chili-200","--bs-chili-200","","tint-color($chili, 60%) !default"
"$chili-300","--bs-chili-300","","tint-color($chili, 40%) !default"
"$chili-400","--bs-chili-400","","tint-color($chili, 20%) !default"
"$chili-500","--bs-chili-500","","$chili !default"
"$chili-600","--bs-chili-600","","shade-color($chili, 20%) !default"
"$chili-700","--bs-chili-700","","shade-color($chili, 40%) !default"
"$chili-800","--bs-chili-800","","shade-color($chili, 60%) !default"
"$chili-900","--bs-chili-900","","shade-color($chili, 80%) !default"
"$chilis","--bs-chilis","","( ""chili-100"": $chili-100, ""chili-200"": $chili-200, ""chili-300"": $chili-300, ""chili-400"": $chili-400, ""chili-500"": $chili-500, ""chili-600"": $chili-600, ""chili-700"": $chili-700, ""chili-800"": $chili-800, ""chili-900"": $chili-900 ) !default"
"$sky-100","--bs-sky-100","","tint-color($sky, 80%) !default"
"$sky-200","--bs-sky-200","","tint-color($sky, 60%) !default"
"$sky-300","--bs-sky-300","","tint-color($sky, 40%) !default"
"$sky-400","--bs-sky-400","","tint-color($sky, 20%) !default"
"$sky-500","--bs-sky-500","","$sky !default"
"$sky-600","--bs-sky-600","","shade-color($sky, 20%) !default"
"$sky-700","--bs-sky-700","","shade-color($sky, 40%) !default"
"$sky-800","--bs-sky-800","","shade-color($sky, 60%) !default"
"$sky-900","--bs-sky-900","","shade-color($sky, 80%) !default"
"$skys","--bs-skys","","( ""sky-100"": $sky-100, ""sky-200"": $sky-200, ""sky-300"": $sky-300, ""sky-400"": $sky-400, ""sky-500"": $sky-500, ""sky-600"": $sky-600, ""sky-700"": $sky-700, ""sky-800"": $sky-800, ""sky-900"": $sky-900 ) !default"
"$oasis-100","--bs-oasis-100","","tint-color($oasis, 80%) !default"
"$oasis-200","--bs-oasis-200","","tint-color($oasis, 60%) !default"
"$oasis-300","--bs-oasis-300","","tint-color($oasis, 40%) !default"
"$oasis-400","--bs-oasis-400","","tint-color($oasis, 20%) !default"
"$oasis-500","--bs-oasis-500","","$oasis !default"
"$oasis-600","--bs-oasis-600","","shade-color($oasis, 20%) !default"
"$oasis-700","--bs-oasis-700","","shade-color($oasis, 40%) !default"
"$oasis-800","--bs-oasis-800","","shade-color($oasis, 60%) !default"
"$oasis-900","--bs-oasis-900","","shade-color($oasis, 80%) !default"
"$oases","--bs-oases","","( ""oasis-100"": $oasis-100, ""oasis-200"": $oasis-200, ""oasis-300"": $oasis-300, ""oasis-400"": $oasis-400, ""oasis-500"": $oasis-500, ""oasis-600"": $oasis-600, ""oasis-700"": $oasis-700, ""oasis-800"": $oasis-800, ""oasis-900"": $oasis-900 ) !default"
"$azurite-100","--bs-azurite-100","","tint-color($azurite, 80%) !default"
"$azurite-200","--bs-azurite-200","","tint-color($azurite, 60%) !default"
"$azurite-300","--bs-azurite-300","","tint-color($azurite, 40%) !default"
"$azurite-400","--bs-azurite-400","","tint-color($azurite, 20%) !default"
"$azurite-500","--bs-azurite-500","","$azurite !default"
"$azurite-600","--bs-azurite-600","","shade-color($azurite, 20%) !default"
"$azurite-700","--bs-azurite-700","","shade-color($azurite, 40%) !default"
"$azurite-800","--bs-azurite-800","","shade-color($azurite, 60%) !default"
"$azurite-900","--bs-azurite-900","","shade-color($azurite, 80%) !default"
"$azurites","--bs-azurites","","( ""azurite-100"": $azurite-100, ""azurite-200"": $azurite-200, ""azurite-300"": $azurite-300, ""azurite-400"": $azurite-400, ""azurite-500"": $azurite-500, ""azurite-600"": $azurite-600, ""azurite-700"": $azurite-700, ""azurite-800"": $azurite-800, ""azurite-900"": $azurite-900 ) !default"
"$midnight-100","--bs-midnight-100","","tint-color($midnight, 80%) !default"
"$midnight-200","--bs-midnight-200","","tint-color($midnight, 60%) !default"
"$midnight-300","--bs-midnight-300","","tint-color($midnight, 40%) !default"
"$midnight-400","--bs-midnight-400","","tint-color($midnight, 20%) !default"
"$midnight-500","--bs-midnight-500","","$midnight !default"
"$midnight-600","--bs-midnight-600","","shade-color($midnight, 20%) !default"
"$midnight-700","--bs-midnight-700","","shade-color($midnight, 40%) !default"
"$midnight-800","--bs-midnight-800","","shade-color($midnight, 60%) !default"
"$midnight-900","--bs-midnight-900","","shade-color($midnight, 80%) !default"
"$midnights","--bs-midnights","","( ""midnight-100"": $midnight-100, ""midnight-200"": $midnight-200, ""midnight-300"": $midnight-300, ""midnight-400"": $midnight-400, ""midnight-500"": $midnight-500, ""midnight-600"": $midnight-600, ""midnight-700"": $midnight-700, ""midnight-800"": $midnight-800, ""midnight-900"": $midnight-900 ) !default"
"$cool-gray-100","--bs-cool-gray-100","","tint-color($cool-gray, 80%) !default"
