Arizona Bootstrap 5.1,Current Design Token,Value
"--bs-red","az.color.brand.blue","#ab0520"
"--bs-bloom","","#ef4056"
"--bs-chili","","#8b0015"
"--bs-blue","az.color.brand.red","#0c234b"
"--bs-sky","","#81d3eb"
"--bs-oasis","","#378dbd"
"--bs-azurite","az.color.brand.azurite","#1e5288"
"--bs-midnight","","#001c48"
"--bs-cool-gray","","#e2e9eb"
"--bs-warm-gray","","#f4ede5"
"--bs-leaf","","#70b865"
"--bs-river","","#007d84"
"--bs-silver","","#9eabae"
"--bs-mesa","","#a95c42"
"--bs-ash","","#403635"
"--bs-sage","","#4a634e"
"--bs-white","","#fff"
"--bs-black","","#000"
"--bs-gray-100","","#f8f9fa"
"--bs-gray-200","","#e9ecef"
"--bs-gray-300","","#dee2e6"
"--bs-gray-400","","#ced4da"
"--bs-gray-500","","#adb5bd"
"--bs-gray-600","","#6c757d"
"--bs-gray-700","","#495057"
"--bs-gray-800","","#343a40"
"--bs-gray-900","","#212529"
"--bs-primary","","#ab0520"
"--bs-secondary","","#0c234b"
"--bs-success","","#70b865"
"--bs-info","","#81d3eb"
"--bs-warning","","#f19e1f"
"--bs-danger","","#a95c42"
"--bs-light","","#dee2e6"
"--bs-dark","","#343a40"
"--bs-primary-rgb","","171, 5, 32"
"--bs-secondary-rgb","","12, 35, 75"
"--bs-success-rgb","","112, 184, 101"
"--bs-info-rgb","","129, 211, 235"
"--bs-warning-rgb","","241, 158, 31"
"--bs-danger-rgb","","169, 92, 66"
"--bs-light-rgb","","222, 226, 230"
"--bs-dark-rgb","","52, 58, 64"
"--bs-primary-text-emphasis","","#44020d"
"--bs-secondary-text-emphasis","","#050e1e"
"--bs-success-text-emphasis","","#2d4a28"
"--bs-info-text-emphasis","","#34545e"
"--bs-warning-text-emphasis","","#603f0c"
"--bs-danger-text-emphasis","","#44251a"
"--bs-light-text-emphasis","","#495057"
"--bs-dark-text-emphasis","","#495057"
"--bs-primary-bg-subtle","","#eecdd2"
"--bs-secondary-bg-subtle","","#ced3db"
"--bs-success-bg-subtle","","#e2f1e0"
"--bs-info-bg-subtle","","#e6f6fb"
"--bs-warning-bg-subtle","","#fcecd2"
"--bs-danger-bg-subtle","","#eeded9"
"--bs-light-bg-subtle","","#fcfcfd"
"--bs-dark-bg-subtle","","#ced4da"
"--bs-primary-border-subtle","","#dd9ba6"
"--bs-secondary-border-subtle","","#9ea7b7"
"--bs-success-border-subtle","","#c6e3c1"
"--bs-info-border-subtle","","#cdedf7"
"--bs-warning-border-subtle","","#f9d8a5"
"--bs-danger-border-subtle","","#ddbeb3"
"--bs-light-border-subtle","","#e9ecef"
"--bs-dark-border-subtle","","#adb5bd"
"--bs-white-rgb","","255, 255, 255"
"--bs-black-rgb","","0, 0, 0"
